//Indexing Sort Option: ALPHA
//Description: TranCode Classifications
//			   Note: As there are some duplicate TranCodes, so some of the TransCodes have been appended with ClassificationCode
//Modification History:
//2015-05-05        Dinesh      Created
//2015-06-22        Dinesh      Modified (Added new classification for trancode 48 NBFID3A (split of NBFID3) as per APCA updates)
// Format : Trancode,Voucher Class

01,NBFID1
02,NBFID1
03,NBFID1
04,NBFID1
06,NBFID1
07,NBFID1
10,NBFID1
14,NBFID1
15,NBFID1
17,NBFID1
18,NBFID1
19,NBFID1
20,NBFID1
21,NBFID1
22,NBFID1
23,NBFID1
24,NBFID1
25,NBFID1
27,NBFID1
29,NBFID1
30,NBFID1
31,NBFID1
32,NBFID1
34,NBFID1
38,NBFID1
39,NBFID1
40,NBFID1
41,NBFID1
42,NBFID1
45,NBFID1
46,NBFID1
49,NBFID1
08,NBFID2
09,NBFID3
48,NBFID3A
9,NBFID4
16,NBFID5
05,NBFID6
33,NBFID7
E,NBFID8
51,NBFIC1
52,NBFIC1
53,NBFIC1
54,NBFIC1
55,NBFIC1
56,NBFIC1
57,NBFIC1
61,NBFIC1
62,NBFIC1
63,NBFIC1
64,NBFIC1
66,NBFIC1
69,NBFIC1
70,NBFIC1
71,NBFIC1
72,NBFIC1
73,NBFIC1
74,NBFIC1
75,NBFIC1
76,NBFIC1
78,NBFIC1
79,NBFIC1
80,NBFIC1
81,NBFIC1
83,NBFIC1
85,NBFIC1
86,NBFIC1
87,NBFIC1
88,NBFIC1
90,NBFIC1
91,NBFIC1
92,NBFIC1
96,NBFIC1
99,NBFIC1
50,NBFIC2
60,NBFIC3
82,NBFIC4
95,NBFIC4
