//Indexing Sort Option: ALPHA
//Description: Debit TranCodes
//Modification History:
//2015-05-04        Dinesh      Modified (Added new codes)
//2015-06-05        Dinesh      Modified (Added TranCodes for Other Debit Items)
//2015-07-15        Dinesh      Modified (Added TranCodes 666 for SubTotal Vouchers)
//2015-08-26       	Saranga		Modified (Added Trancodes 444 for lockbox)
// Format : Trancode, number of digits required for EAD, Operator (2nd and 3rd fields are not used)
//TranCodes added from APCA Appendix B (Number of Digits and Operator values are not correct, check and change if being used)

0,1,GE
1,0,EQ
2,0,EQ
3,0,EQ
4,0,EQ
5,0,EQ
6,0,EQ
7,0,EQ
8,9,EQ
9,9,EQ

00,1,GE
01,0,EQ
02,0,EQ
03,0,EQ
04,0,EQ
05,0,EQ
06,0,EQ
07,0,EQ
08,0,EQ
09,0,EQ

000,1,GE
001,0,EQ
002,0,EQ
003,0,EQ
004,0,EQ
005,0,EQ
006,0,EQ
007,0,EQ
008,0,EQ
009,0,EQ

10,9,EQ
11,9,EQ
12,0,EQ
13,0,EQ
14,0,EQ
15,0,EQ
16,0,EQ
17,0,EQ
18,0,EQ
19,0,EQ
20,0,EQ
21,0,EQ
22,0,EQ
23,0,EQ
24,0,EQ
25,0,EQ
26,0,EQ
27,0,EQ
28,0,EQ
29,0,EQ
30,0,EQ
31,0,EQ
32,0,EQ
33,0,EQ
34,0,EQ
35,0,EQ
36,0,EQ
37,0,EQ
38,0,EQ
39,0,EQ
40,0,EQ
41,0,EQ
42,0,EQ
43,0,EQ
44,0,EQ
45,0,EQ
46,0,EQ
47,0,EQ
48,0,EQ
49,0,EQ
111,0,EQ
222,0,EQ
666,0,EQ
900,0,EQ
901,0,EQ
902,0,EQ
903,0,EQ
904,0,EQ
905,0,EQ
906,0,EQ
907,0,EQ
908,0,EQ
909,0,EQ
910,0,EQ
911,0,EQ
912,0,EQ
913,0,EQ
914,0,EQ
915,0,EQ
916,0,EQ
917,0,EQ
918,0,EQ
919,0,EQ
920,0,EQ
921,0,EQ
922,0,EQ
923,0,EQ
924,0,EQ
925,0,EQ
926,0,EQ
927,0,EQ
928,0,EQ
929,0,EQ
930,0,EQ
931,0,EQ
932,0,EQ
933,0,EQ
934,0,EQ
935,0,EQ
936,0,EQ
937,0,EQ
938,0,EQ
939,0,EQ
940,0,EQ
941,0,EQ
942,0,EQ
943,0,EQ
944,0,EQ
945,0,EQ
946,0,EQ
947,0,EQ
948,0,EQ
949,0,EQ

444,0,EQ
